emailId,name,employeeId,country,Designation,LastPromotionDate,JobTitle,HiredDate,EmergencyContactName,EmergencyContactNumber,RegionalSupervisor,OfficeSupervisor
sachin@gmail.com,Sachin Tendulkar,EA-ET-61,Ethiopia,Dev,13-09-2022,Developer,25-09-2024,Dhoni,574954508,Anj Anj,Siva Siv
saran@forsytsso.onmicrosoft.com,Saran S,EA-KE-52,Kenya,,,,02-08-2022,,,,Ajay S
saran@gmail.com,Saran Developer,12344,Kenya,Tester,,Tester,09-05-2024,,,Ajay S,Akass Akash
sarancs@gmail.com,saran cs,EA-UG-42,Uganda,Partner,,,01-07-2024,,,,Ajay S
sehwah@gmail.com,Sehwah Viru,EA-KE-45,Kenya,,,,24-07-2024,,,,Akass Akash
sivasmk53@gmail.com,bharath lin,123,Kenya,Tester,16-02-2024,Developer,02-04-2024,Harish H,91324325367,,Ajay S
sivasmk54@gmail.com,abdhul malik,EA-KE-36,Kenya,Manager,01-07-2024,tester,04-07-2023,Harish H,98492402,Ajay S,Akass Akash
surya@gmail.com,Surya kannan,2345,Uganda,Tester,,tester,11-06-2024,bharath lin,9.11E+11,Ajay S,Akass Akash
suvashree@wailatech.com.au,Samuel Gardner,EA-KE-59,Kenya,,,,22-06-2023,,,,Siva Siv
teboyen994@bacaki.com,Rose D,EA-KE-42,Kenya,Tester,,,01-07-2024,Jenifer,9.20E+11,Ajay S,Akass Akash
teddy@gmail.com,Teddy D,EA-UG-57,Uganda,,,,01-09-2024,wilson,9.11E+11,,Akass Akash
test@gmail.com,John Mark,Test1234234,Uganda,Tester,,Software,29-05-2024,Alex Ubalton Al,91451198303,Ajay S,Akass Akash
vikkayepsi@gufum.com,ajay raj,EA-UG-37,Uganda,Manager,01-07-2024,tester,31-07-2024,Harish H,98492402,Ajay S,Akass Akash
vinothjerom23@gmail.com,Theju Shravani,BDOEA-237,Tanzania,Tester,,Senior 1,06-02-2023,Dia,9087654321,Ajay S,Akass Akash
vostamolta@gufum.com,Elgin Jose,EA-KE-40,Kenya,Tester,03-07-2023,Manager,08-07-2023,Siva ,9.20E+11,Ajay S,Akass Akash
vowace2296@ofionk.com,Ryan  Gosling,EA-DR-60,DR Congo,,,,16-09-2020,Flash,9.16E+11,,Ajay S
wahise7289@apn7.com,Shifra R,EA-TA-42,Tanzania,Tester,17-05-2023,IT,01-07-2023,Demo user,2.55E+13,Ajay S,Akass Akash
wexicex688@mvpalace.com,Minato Namikaze,EA-DR-50,DR Congo,,,Tester,02-06-2014,Flash,81651261321,Abi Sha,Ajay S
xoyonig845@vasomly.com,Charles  leclerc,EA-DR-44,DR Congo,,,Operations Coordinator,08-07-2019,siva,8393783937,Ajay S,Abi Sha
yitil74582@bsomek.com,Henry   Shah,AUD 008,Tanzania,Developer,25-04-2024,Tester,01-05-2024,Siva ,9.20E+11,Ajay S,Siva Siv
